record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
3,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,2
6,0,0,0,13 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,0,4
11,0,0,0,15 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,0,4
15,0,0,0,14 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Never,0,0,9
23,0,0,1,13 years old,1,0 times,1 to 3 times,Most of the time,3 or more,Rarely,Always,0,0,35
24,0,0,0,14 years old,1,0 times,1 to 3 times,Most of the time,2,Always,Sometimes,0,1,7
32,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
34,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
38,0,0,0,13 years old,1,0 times,8 to 11 times,Rarely,3 or more,Always,Rarely,0,0,7
40,0,0,1,13 years old,0,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Most of the time,0,0,36
42,1,0,1,13 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Most of the time,0,1,66
43,1,0,0,15 years old,1,1 time,0 times,Never,3 or more,Never,Sometimes,0,0,37
44,0,0,0,14 years old,0,1 time,0 times,Never,3 or more,Always,Always,0,1,1
46,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Always,0,0,33
48,0,0,0,15 years old,0,1 time,0 times,Sometimes,3 or more,Sometimes,Always,0,0,5
49,0,0,1,14 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,0,35
50,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,3
51,0,0,0,16 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,0,5
53,0,1,1,14 years old,0,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Most of the time,0,1,65
55,0,1,1,16 years old,1,4 or 5 times,1 to 3 times,Most of the time,0,Sometimes,Always,0,0,72
57,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Rarely,1,0,5
58,0,0,0,15 years old,1,0 times,4 to 7 times,Rarely,3 or more,Most of the time,Always,0,0,6
59,0,0,0,16 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,0,4
60,1,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,36
61,0,0,1,15 years old,0,0 times,0 times,Always,3 or more,Sometimes,Most of the time,0,0,37
62,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
65,0,1,0,16 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Always,0,1,36
67,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
70,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Always,0,1,4
74,0,0,0,16 years old,1,0 times,0 times,Never,2,Most of the time,Always,0,0,4
76,0,0,0,16 years old,0,0 times,0 times,Sometimes,2,Sometimes,Sometimes,0,0,7
77,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Always,Sometimes,0,0,2
78,0,1,1,14 years old,0,0 times,0 times,Always,3 or more,Rarely,Rarely,0,0,68
79,0,0,1,15 years old,1,0 times,0 times,Always,3 or more,Always,Never,0,0,38
80,0,0,0,17 years old,0,0 times,0 times,Never,3 or more,Always,Never,0,0,4
81,0,0,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
82,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,1,9
85,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,1,5
88,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Rarely,0,1,5
89,0,0,0,15 years old,0,0 times,0 times,Most of the time,1,Sometimes,Always,0,0,7
95,0,0,1,17 years old,1,1 time,1 to 3 times,Sometimes,2,Sometimes,Most of the time,0,0,38
97,1,1,1,16 years old,0,1 time,1 to 3 times,Sometimes,3 or more,Sometimes,Always,0,0,96
99,0,0,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,0,0,4
100,0,0,0,16 years old,1,0 times,0 times,Never,1,Rarely,Never,0,0,7
106,0,0,0,17 years old,0,0 times,0 times,Most of the time,2,Rarely,Always,0,0,5
107,0,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,1,37
110,0,0,0,17 years old,0,0 times,1 to 3 times,Always,1,Sometimes,Never,0,0,13
113,0,1,1,17 years old,1,1 time,1 to 3 times,Never,1,Sometimes,Most of the time,0,0,67
114,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,6
115,1,0,0,12 years old,1,0 times,0 times,Rarely,2,Sometimes,Never,0,1,38
116,0,0,0,13 years old,1,1 time,1 to 3 times,Rarely,3 or more,Rarely,Sometimes,0,0,6
117,0,0,0,13 years old,1,0 times,0 times,Never,3 or more,Always,Always,0,1,0
118,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,36
119,1,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,33
120,0,0,0,14 years old,1,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,1,0,4
121,0,0,0,13 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Never,0,1,9
122,1,1,1,13 years old,0,0 times,0 times,Most of the time,1,Always,Always,0,1,95
123,1,0,1,13 years old,0,0 times,0 times,Always,1,Sometimes,Never,0,1,72
124,0,1,1,13 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,1,64
125,0,1,0,14 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Rarely,0,1,38
126,1,0,1,13 years old,0,1 time,0 times,Most of the time,2,Most of the time,Never,0,0,72
129,1,1,1,14 years old,0,10 or more times,1 to 3 times,Always,3 or more,Sometimes,Most of the time,0,0,103
130,0,0,0,13 years old,1,0 times,4 to 7 times,Never,3 or more,Rarely,Sometimes,0,1,5
132,1,0,1,13 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,63
133,0,1,1,13 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,67
134,0,0,0,13 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Most of the time,0,1,6
137,0,0,1,13 years old,1,1 time,1 to 3 times,Rarely,3 or more,Sometimes,Sometimes,1,0,37
138,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,38
139,1,0,0,13 years old,0,0 times,0 times,Sometimes,1,Sometimes,Rarely,0,0,39
140,0,1,0,15 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Never,0,0,36
141,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Most of the time,0,0,6
142,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Most of the time,0,1,4
144,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Always,Sometimes,0,1,2
145,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
147,0,0,0,14 years old,1,0 times,1 to 3 times,Never,2,Most of the time,Most of the time,0,0,6
148,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,5
149,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,5
150,0,0,0,14 years old,0,0 times,0 times,Sometimes,2,Never,Never,0,0,11
151,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Never,0,1,7
153,0,0,0,15 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Most of the time,Most of the time,0,0,7
155,1,0,0,14 years old,1,1 time,0 times,Sometimes,0,Always,Sometimes,0,0,38
158,0,0,0,14 years old,1,0 times,1 to 3 times,Never,2,Never,Never,0,0,10
159,0,0,0,13 years old,1,0 times,0 times,Sometimes,3 or more,Rarely,Never,0,0,7
161,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,0,9
163,1,1,0,15 years old,1,0 times,0 times,Never,3 or more,Sometimes,Rarely,0,1,65
164,0,0,0,14 years old,1,0 times,0 times,Never,2,Rarely,Sometimes,0,1,4
166,0,1,1,15 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Sometimes,0,0,68
167,0,1,1,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,1,65
168,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Always,Sometimes,0,1,2
169,0,0,1,14 years old,1,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,1,36
170,0,0,0,14 years old,1,0 times,0 times,Rarely,3 or more,Always,Never,0,0,5
171,1,1,0,15 years old,0,0 times,0 times,Most of the time,2,Most of the time,Always,0,1,67
172,1,0,0,15 years old,0,0 times,1 to 3 times,Most of the time,3 or more,Always,Never,0,1,38
173,1,0,0,15 years old,0,0 times,0 times,Most of the time,3 or more,Always,Most of the time,0,0,34
174,1,1,1,15 years old,0,0 times,1 to 3 times,Most of the time,0,Rarely,Never,0,0,102
175,1,1,1,15 years old,0,2 or 3 times,0 times,Always,0,Rarely,Rarely,0,0,103
177,1,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,38
178,0,1,0,15 years old,1,2 or 3 times,1 to 3 times,Rarely,3 or more,Most of the time,Always,0,0,37
179,0,0,0,15 years old,0,0 times,0 times,Most of the time,2,Sometimes,Rarely,0,1,9
181,0,0,0,15 years old,1,0 times,1 to 3 times,Always,0,Rarely,Never,0,0,13
182,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Most of the time,Never,0,1,7
185,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Always,Rarely,0,0,4
186,1,0,0,15 years old,0,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,32
187,0,0,0,15 years old,0,2 or 3 times,4 to 7 times,Sometimes,3 or more,Most of the time,Most of the time,0,1,10
188,1,1,0,15 years old,0,4 or 5 times,1 to 3 times,Sometimes,2,Sometimes,Always,0,0,69
189,0,1,0,15 years old,1,2 or 3 times,4 to 7 times,Sometimes,3 or more,Most of the time,Never,0,0,43
190,1,0,0,16 years old,1,0 times,0 times,Sometimes,2,Never,Always,0,0,37
191,1,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,0,37
192,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
193,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,1,5
194,1,0,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,1,68
195,1,1,1,15 years old,1,0 times,0 times,Rarely,1,Most of the time,Sometimes,0,0,98
196,1,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,68
197,0,1,1,15 years old,0,4 or 5 times,4 to 7 times,Sometimes,3 or more,Rarely,Never,0,1,72
200,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Always,0,1,4
201,1,1,1,16 years old,1,0 times,0 times,Never,2,Sometimes,Never,0,0,97
202,0,0,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Always,Never,0,1,36
205,0,0,0,16 years old,0,0 times,0 times,Sometimes,1,Most of the time,Rarely,0,0,10
206,0,1,0,17 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,30
207,0,0,0,16 years old,1,0 times,0 times,Never,3 or more,Most of the time,Never,0,0,7
208,0,1,1,16 years old,1,0 times,0 times,Rarely,2,Most of the time,Most of the time,0,0,66
211,0,1,1,16 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Always,0,0,64
215,0,1,1,17 years old,1,10 or more times,0 times,Sometimes,3 or more,Always,Rarely,0,1,70
216,0,0,0,17 years old,1,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,6
217,0,0,0,17 years old,1,0 times,0 times,Never,3 or more,Always,Rarely,0,0,3
218,1,1,1,16 years old,1,0 times,0 times,Sometimes,3 or more,Always,Never,0,1,96
219,1,1,1,16 years old,1,10 or more times,8 to 11 times,Sometimes,2,Most of the time,Sometimes,0,0,106
220,1,0,0,16 years old,0,1 time,1 to 3 times,Sometimes,2,Sometimes,Sometimes,0,0,39
223,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Never,0,1,8
224,0,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,0,9
225,1,0,0,13 years old,1,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Rarely,0,0,37
226,0,0,1,13 years old,0,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,0,35
227,0,0,0,13 years old,0,0 times,0 times,Rarely,2,Sometimes,Most of the time,0,0,5
229,1,1,1,13 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,0,99
233,0,1,1,13 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,1,64
236,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Always,Most of the time,0,0,2
237,0,1,0,14 years old,1,0 times,0 times,Never,3 or more,Sometimes,Sometimes,0,0,34
238,1,0,0,13 years old,0,0 times,0 times,Always,3 or more,Always,Always,0,1,34
239,1,0,1,13 years old,0,0 times,0 times,Never,3 or more,Sometimes,Rarely,0,1,65
240,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Rarely,Most of the time,0,0,3
241,0,0,1,13 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Most of the time,0,0,35
242,0,0,0,13 years old,0,0 times,0 times,Sometimes,2,Always,Rarely,0,0,6
243,0,1,0,13 years old,0,0 times,0 times,Rarely,3 or more,Rarely,Most of the time,0,0,33
244,1,0,0,12 years old,0,0 times,0 times,Most of the time,2,Sometimes,Most of the time,0,1,37
245,1,1,1,13 years old,0,2 or 3 times,0 times,Rarely,2,Sometimes,Sometimes,0,1,98
247,0,0,1,13 years old,1,0 times,0 times,Never,3 or more,Rarely,Rarely,0,0,34
251,0,0,1,13 years old,0,1 time,0 times,Rarely,3 or more,Most of the time,Never,0,1,39
252,1,1,0,14 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Rarely,0,1,68
257,0,0,0,13 years old,0,1 time,0 times,Always,0,Rarely,Sometimes,1,0,11
260,1,0,1,13 years old,1,1 time,1 to 3 times,Sometimes,3 or more,Sometimes,Always,0,0,66
261,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Never,0,0,8
262,1,0,0,13 years old,0,2 or 3 times,1 to 3 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,39
263,1,1,1,13 years old,1,0 times,0 times,Sometimes,0,Rarely,Sometimes,0,1,98
264,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,2
265,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,1,3
267,0,0,0,13 years old,1,0 times,0 times,Never,3 or more,Sometimes,Rarely,0,0,5
268,1,0,0,14 years old,0,0 times,0 times,Never,3 or more,Most of the time,Never,0,0,37
270,1,1,1,13 years old,1,2 or 3 times,0 times,Rarely,3 or more,Sometimes,Rarely,0,0,98
273,0,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
274,0,0,0,13 years old,1,0 times,0 times,Never,3 or more,Most of the time,Always,0,1,3
276,0,0,0,13 years old,1,0 times,0 times,Never,1,Sometimes,Always,0,1,4
277,0,0,0,14 years old,1,1 time,4 to 7 times,Always,0,Rarely,Rarely,0,1,14
280,0,0,0,14 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Rarely,0,1,8
281,1,1,0,14 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Always,0,1,65
284,0,0,0,14 years old,0,0 times,0 times,Never,2,Rarely,Sometimes,0,0,4
285,1,0,1,14 years old,0,0 times,0 times,Rarely,3 or more,Rarely,Most of the time,0,1,63
287,0,0,0,14 years old,1,0 times,0 times,Most of the time,0,Sometimes,Rarely,0,1,11
288,0,0,0,15 years old,1,2 or 3 times,1 to 3 times,Sometimes,2,Never,Never,0,1,14
289,0,1,1,14 years old,0,0 times,0 times,Most of the time,2,Most of the time,Rarely,0,1,70
290,0,1,1,15 years old,1,0 times,1 to 3 times,Sometimes,2,Rarely,Sometimes,0,0,67
291,0,1,0,14 years old,0,0 times,0 times,Rarely,3 or more,Always,Sometimes,0,0,33
292,0,0,0,15 years old,1,4 or 5 times,1 to 3 times,Sometimes,2,Rarely,Most of the time,0,0,9
294,0,0,1,14 years old,0,1 time,4 to 7 times,Most of the time,3 or more,Rarely,Rarely,0,0,40
296,0,0,0,14 years old,1,0 times,0 times,Most of the time,1,Sometimes,Rarely,0,1,10
297,0,0,0,14 years old,0,0 times,0 times,Rarely,1,Sometimes,Sometimes,0,1,7
299,0,0,0,14 years old,0,0 times,0 times,Never,1,Sometimes,Most of the time,0,0,5
300,0,1,0,14 years old,1,0 times,0 times,Sometimes,1,Rarely,Never,0,1,39
302,1,1,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Most of the time,0,0,65
303,0,0,0,14 years old,0,0 times,0 times,Rarely,1,Most of the time,Never,0,1,10
304,0,1,1,15 years old,0,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Most of the time,0,0,65
308,0,1,1,14 years old,0,1 time,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,69
309,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Most of the time,1,0,4
310,1,1,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Always,0,0,93
312,0,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,0,0,34
313,0,1,0,15 years old,1,1 time,1 to 3 times,Never,3 or more,Always,Rarely,0,1,35
314,0,1,1,16 years old,0,0 times,0 times,Most of the time,3 or more,Rarely,Rarely,0,0,67
315,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,0,0,4
316,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Rarely,Rarely,0,0,5
317,1,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Sometimes,0,1,65
318,0,0,0,15 years old,1,0 times,0 times,Rarely,1,Rarely,Rarely,0,0,7
319,0,0,0,17 years old,1,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Rarely,0,0,8
320,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Most of the time,0,0,4
322,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Rarely,Rarely,0,0,4
323,0,0,0,16 years old,0,0 times,0 times,Most of the time,1,Sometimes,Rarely,0,0,10
324,1,0,1,15 years old,0,0 times,0 times,Most of the time,0,Never,Never,0,0,74
325,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,0,5
326,0,0,0,15 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Never,0,0,9
328,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,1,7
329,0,1,0,15 years old,0,2 or 3 times,0 times,Rarely,3 or more,Most of the time,Never,0,0,40
330,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,0,5
332,1,0,1,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,0,65
333,0,0,0,15 years old,0,0 times,0 times,Rarely,2,Rarely,Most of the time,0,0,4
337,0,0,1,16 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,1,38
338,0,0,1,15 years old,0,1 time,0 times,Most of the time,2,Sometimes,Always,0,0,37
340,0,1,1,15 years old,0,1 time,0 times,Rarely,3 or more,Never,Rarely,0,0,69
341,0,0,0,16 years old,0,0 times,0 times,Rarely,2,Most of the time,Always,0,0,5
343,0,1,1,15 years old,0,0 times,0 times,Sometimes,1,Most of the time,Most of the time,0,0,68
344,0,1,1,16 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Most of the time,0,0,66
345,1,0,1,15 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Always,0,0,66
346,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,0,9
347,0,0,0,15 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Never,0,1,9
349,0,0,0,15 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Always,0,1,5
350,0,1,1,15 years old,1,0 times,0 times,Most of the time,3 or more,Sometimes,Most of the time,0,1,66
353,0,0,0,16 years old,1,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Sometimes,0,0,6
355,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,0,5
356,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Always,Most of the time,0,0,1
357,0,0,0,15 years old,1,0 times,4 to 7 times,Never,3 or more,Rarely,Rarely,0,1,6
358,1,0,1,15 years old,0,0 times,0 times,Most of the time,2,Sometimes,Never,0,0,70
359,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Always,Always,0,1,1
360,0,0,1,15 years old,1,0 times,1 to 3 times,Sometimes,3 or more,Always,Always,0,1,33
361,0,0,0,17 years old,0,0 times,0 times,Never,1,Rarely,Sometimes,0,0,5
362,0,0,0,16 years old,1,0 times,1 to 3 times,Rarely,3 or more,Rarely,Sometimes,0,0,5
363,0,0,0,16 years old,0,0 times,0 times,Sometimes,0,Rarely,Sometimes,0,0,8
364,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,6
365,0,0,1,16 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Most of the time,0,0,36
366,0,0,0,16 years old,1,0 times,1 to 3 times,Rarely,0,Most of the time,Rarely,0,0,11
367,0,0,0,17 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Rarely,0,0,8
368,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Rarely,0,0,6
369,0,1,0,16 years old,0,2 or 3 times,0 times,Never,3 or more,Rarely,Always,0,0,33
370,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Always,Most of the time,0,0,3
373,1,0,0,16 years old,0,2 or 3 times,0 times,Most of the time,3 or more,Most of the time,Sometimes,0,0,40
374,0,1,0,16 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,30
375,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Sometimes,0,0,4
377,0,0,1,17 years old,1,0 times,1 to 3 times,Sometimes,3 or more,Rarely,Sometimes,0,0,36
378,0,0,0,17 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,3
379,0,1,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Always,Rarely,0,1,35
380,1,1,1,16 years old,0,1 time,0 times,Always,0,Never,Rarely,0,0,105
381,0,0,0,16 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Sometimes,0,0,7
382,0,1,1,17 years old,1,1 time,0 times,Most of the time,3 or more,Sometimes,Sometimes,0,0,68
383,1,0,0,15 years old,1,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,32
387,1,1,1,13 years old,0,0 times,0 times,Most of the time,2,Sometimes,Rarely,0,0,99
391,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
393,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Sometimes,Most of the time,0,0,3
397,1,1,1,15 years old,1,0 times,0 times,Never,2,Sometimes,Always,0,0,93
410,0,0,0,16 years old,1,0 times,1 to 3 times,Rarely,3 or more,Never,Most of the time,0,0,7
412,0,0,0,16 years old,0,0 times,0 times,Rarely,2,Rarely,Never,0,0,7
413,0,0,1,15 years old,1,0 times,0 times,Sometimes,3 or more,Never,Rarely,0,1,39
414,1,1,1,15 years old,0,0 times,0 times,Most of the time,3 or more,Rarely,Most of the time,0,0,95
415,1,0,1,16 years old,0,0 times,0 times,Sometimes,1,Most of the time,Rarely,0,0,70
417,1,1,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Most of the time,0,0,95
418,0,0,0,15 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Rarely,0,0,8
421,0,1,0,17 years old,0,0 times,0 times,Most of the time,0,Rarely,Never,0,0,41
422,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,3
423,0,0,0,16 years old,0,0 times,1 to 3 times,Never,2,Sometimes,Sometimes,0,0,6
424,0,0,0,17 years old,0,0 times,0 times,Never,2,Never,Most of the time,0,1,6
426,0,0,0,15 years old,0,1 time,1 to 3 times,Sometimes,1,Rarely,Never,0,1,11
427,0,0,0,15 years old,0,0 times,1 to 3 times,Rarely,3 or more,Rarely,Never,0,0,7
429,0,0,1,13 years old,0,2 or 3 times,1 to 3 times,Sometimes,3 or more,Most of the time,Never,0,1,42
431,1,1,0,14 years old,0,0 times,0 times,Rarely,0,Never,Never,0,1,72
434,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Always,Sometimes,0,0,2
436,1,1,0,13 years old,1,0 times,1 to 3 times,Never,3 or more,Sometimes,Never,0,1,67
437,1,1,0,13 years old,1,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Never,0,1,69
439,0,0,0,15 years old,0,0 times,0 times,Rarely,2,Most of the time,Rarely,0,1,8
440,0,0,0,14 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
447,0,0,1,16 years old,0,0 times,0 times,Never,0,Never,Never,0,1,41
451,1,1,1,17 years old,1,1 time,1 to 3 times,Never,2,Rarely,Never,0,0,98
453,0,0,1,16 years old,0,0 times,0 times,Most of the time,0,Rarely,Most of the time,0,0,38
456,1,0,0,13 years old,0,0 times,0 times,Sometimes,1,Most of the time,Rarely,0,1,40
457,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Sometimes,Rarely,0,1,5
458,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Sometimes,0,1,6
459,1,1,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,1,67
463,0,0,0,14 years old,0,0 times,0 times,Most of the time,2,Rarely,Never,0,0,9
464,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,1,3
465,0,0,0,15 years old,1,0 times,0 times,Sometimes,2,Most of the time,Most of the time,0,0,7
466,0,1,0,16 years old,1,2 or 3 times,0 times,Sometimes,3 or more,Rarely,Rarely,0,1,38
467,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,0,5
470,0,0,0,13 years old,1,0 times,0 times,Sometimes,3 or more,Always,Always,0,1,2
471,0,1,0,14 years old,0,1 time,1 to 3 times,Never,0,Most of the time,Rarely,0,1,41
472,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,2
473,0,0,0,13 years old,1,0 times,1 to 3 times,Never,3 or more,Rarely,Always,0,0,2
476,1,0,1,14 years old,0,0 times,1 to 3 times,Always,2,Most of the time,Sometimes,0,1,71
477,0,0,0,16 years old,1,2 or 3 times,0 times,Rarely,2,Always,Never,0,1,8
