record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
1870,0,1,0,15 years old,1,0 times,1 to 3 times,Never,3 or more,Rarely,Rarely,0,0,35
1871,0,0,0,16 years old,0,0 times,0 times,Rarely,2,Sometimes,Sometimes,0,0,6
1878,0,1,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,65
1881,0,0,0,14 years old,1,1 time,0 times,Sometimes,2,Sometimes,Rarely,0,1,9
1882,0,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Always,Rarely,0,1,35
1886,0,0,0,15 years old,1,0 times,0 times,Never,0,Sometimes,Always,0,0,5
1893,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,1,5
1894,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Most of the time,Most of the time,0,0,4
1895,0,0,0,15 years old,0,0 times,0 times,Never,1,Most of the time,Rarely,0,0,8
1897,1,1,0,17 years old,0,0 times,0 times,Most of the time,2,Sometimes,Rarely,0,1,69
1898,0,0,0,17 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
1900,0,0,0,16 years old,0,0 times,0 times,Always,1,Sometimes,Sometimes,0,1,10
1901,0,0,0,17 years old,0,1 time,0 times,Most of the time,0,Always,Never,0,0,11
1906,1,1,0,13 years old,1,1 time,1 to 3 times,Never,3 or more,Sometimes,Most of the time,0,0,65
1914,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
1917,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Never,Always,0,0,4
1918,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Always,Always,0,0,0
1920,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Most of the time,Most of the time,0,1,4
1921,1,0,1,14 years old,1,0 times,0 times,Always,0,Rarely,Always,0,1,68
1922,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Rarely,Never,0,1,5
1924,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Most of the time,Most of the time,0,1,4
1925,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
1926,0,0,0,14 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Sometimes,0,0,4
1927,0,0,0,14 years old,1,0 times,0 times,Sometimes,1,Most of the time,Rarely,0,1,10
1928,1,1,1,14 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Sometimes,0,0,98
1929,0,0,0,14 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,0,5
1930,0,1,0,15 years old,0,0 times,0 times,Sometimes,1,Rarely,Always,0,0,35
